question_id,category_status,cluster_status,answerability_status,review_status,publication_status
Q-RAG-001,expected,expected,supported,pending,not_published
Q-RAG-002,expected,expected,supported,pending,not_published
Q-RAG-003,expected,expected,supported,pending,not_published
Q-RAG-004,expected,expected,supported,pending,not_published
Q-RAG-005,expected,expected,supported,pending,not_published
Q-RAG-006,expected,expected,unsupported,escalated,not_published
Q-RAG-007,expected,expected,sensitive,escalated,not_published
Q-RAG-008,expected,expected,unsafe_instruction,escalated,not_published
Q-RAG-009,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-010,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-011,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-012,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-013,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-014,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-015,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-016,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-017,unprocessed,unprocessed,unprocessed,pending,not_published
Q-RAG-018,unprocessed,unprocessed,unprocessed,pending,not_published
